ts	perm	script	gates	verify	wall_sec
2026-04-25T17:15:31	0,7,1,3,4,6,2,5	fast	108	OK	0.26
2026-04-25T17:15:31	0,7,1,3,4,6,5,2	fast	103	OK	0.18
2026-04-25T17:15:31	0,7,1,3,5,2,4,6	fast	103	OK	0.18
2026-04-25T17:15:31	0,7,1,3,5,2,6,4	fast	125	OK	0.18
2026-04-25T17:15:31	0,7,1,3,5,4,6,2	fast	112	OK	0.18
2026-04-25T17:15:31	0,7,1,3,5,4,2,6	fast	111	OK	0.20
2026-04-25T17:15:32	0,7,1,3,5,6,2,4	fast	116	OK	0.18
2026-04-25T17:15:32	0,7,1,3,5,6,4,2	fast	107	OK	0.16
2026-04-25T17:15:32	0,7,1,3,6,2,4,5	fast	125	OK	0.19
2026-04-25T17:15:32	0,7,1,3,6,2,5,4	fast	109	OK	0.17
2026-04-25T17:15:32	0,7,1,3,6,4,2,5	fast	113	OK	0.17
2026-04-25T17:15:32	0,7,1,3,6,4,5,2	fast	115	OK	0.17
2026-04-25T17:15:32	0,7,1,3,6,5,2,4	fast	110	OK	0.16
2026-04-25T17:15:32	0,7,1,3,6,5,4,2	fast	118	OK	0.17
2026-04-25T17:15:32	0,7,1,4,2,3,5,6	fast	124	OK	0.17
2026-04-25T17:15:32	0,7,1,4,2,3,6,5	fast	118	OK	0.19
2026-04-25T17:15:32	0,7,1,4,2,5,3,6	fast	107	OK	0.17
2026-04-25T17:15:32	0,7,1,4,2,5,6,3	fast	130	OK	0.20
2026-04-25T17:15:32	0,7,1,4,2,6,3,5	fast	103	OK	0.18
2026-04-25T17:15:32	0,7,1,4,2,6,5,3	fast	116	OK	0.20
2026-04-25T17:15:32	0,7,1,4,3,2,5,6	fast	127	OK	0.21
2026-04-25T17:15:32	0,7,1,4,3,2,6,5	fast	116	OK	0.21
2026-04-25T17:15:32	0,7,1,4,3,5,2,6	fast	103	OK	0.18
2026-04-25T17:15:32	0,7,1,4,3,5,6,2	fast	120	OK	0.19
2026-04-25T17:15:33	0,7,1,4,3,6,2,5	fast	105	OK	0.20
2026-04-25T17:15:33	0,7,1,4,3,6,5,2	fast	102	OK	0.19
2026-04-25T17:15:33	0,7,1,4,5,2,3,6	fast	117	OK	0.21
2026-04-25T17:15:33	0,7,1,4,5,2,6,3	fast	109	OK	0.17
2026-04-25T17:15:33	0,7,1,4,5,3,2,6	fast	114	OK	0.19
2026-04-25T17:15:33	0,7,1,4,5,3,6,2	fast	115	OK	0.16
2026-04-25T17:15:33	0,7,1,4,5,6,2,3	fast	116	OK	0.20
2026-04-25T17:15:33	0,7,1,4,5,6,3,2	fast	111	OK	0.17
2026-04-25T17:15:33	0,7,1,4,6,2,5,3	fast	104	OK	0.16
2026-04-25T17:15:33	0,7,1,4,6,2,3,5	fast	113	OK	0.19
2026-04-25T17:15:33	0,7,1,4,6,3,5,2	fast	103	OK	0.16
2026-04-25T17:15:33	0,7,1,4,6,3,2,5	fast	105	OK	0.19
2026-04-25T17:15:33	0,7,1,4,6,5,3,2	fast	117	OK	0.18
2026-04-25T17:15:33	0,7,1,4,6,5,2,3	fast	101	OK	0.20
2026-04-25T17:15:33	0,7,1,5,2,3,4,6	fast	118	OK	0.20
2026-04-25T17:15:33	0,7,1,5,2,3,6,4	fast	113	OK	0.21
2026-04-25T17:15:33	0,7,1,5,2,4,3,6	fast	114	OK	0.18
2026-04-25T17:15:33	0,7,1,5,2,4,6,3	fast	130	OK	0.20
2026-04-25T17:15:34	0,7,1,5,2,6,3,4	fast	110	OK	0.18
2026-04-25T17:15:34	0,7,1,5,2,6,4,3	fast	117	OK	0.22
2026-04-25T17:15:34	0,7,1,5,3,2,6,4	fast	113	OK	0.18
