ts	name	script	perm	status	gates	wall_sec	blif_path	notes
2026-04-25T16:21:55	ss_(0, 1, 2, 5, 6, 3, 7, 4)	fast	0,0.5,1,3,4,1.5,6,2,-0,-0.5,-1,-3,-4,-1.5,-6,-2	ok	221	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 6, 3, 7, 4).blif	
2026-04-25T16:21:55	ss_(0, 1, 2, 5, 6, 4, 3, 7)	fast	0,0.5,1,3,4,2,1.5,6,-0,-0.5,-1,-3,-4,-2,-1.5,-6	ok	231	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 6, 4, 3, 7).blif	
2026-04-25T16:21:55	ss_(0, 1, 2, 5, 6, 4, 7, 3)	fast	0,0.5,1,3,4,2,6,1.5,-0,-0.5,-1,-3,-4,-2,-6,-1.5	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 6, 4, 7, 3).blif	
2026-04-25T16:21:56	ss_(0, 1, 2, 5, 6, 7, 3, 4)	fast	0,0.5,1,3,4,6,1.5,2,-0,-0.5,-1,-3,-4,-6,-1.5,-2	ok	228	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 6, 7, 3, 4).blif	
2026-04-25T16:21:56	ss_(0, 1, 2, 5, 6, 7, 4, 3)	fast	0,0.5,1,3,4,6,2,1.5,-0,-0.5,-1,-3,-4,-6,-2,-1.5	ok	226	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 6, 7, 4, 3).blif	
2026-04-25T16:21:56	ss_(0, 1, 2, 5, 7, 3, 4, 6)	fast	0,0.5,1,3,6,1.5,2,4,-0,-0.5,-1,-3,-6,-1.5,-2,-4	ok	212	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 7, 3, 4, 6).blif	
2026-04-25T16:21:56	ss_(0, 1, 2, 5, 7, 3, 6, 4)	fast	0,0.5,1,3,6,1.5,4,2,-0,-0.5,-1,-3,-6,-1.5,-4,-2	ok	216	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 7, 3, 6, 4).blif	
2026-04-25T16:21:57	ss_(0, 1, 2, 5, 7, 4, 3, 6)	fast	0,0.5,1,3,6,2,1.5,4,-0,-0.5,-1,-3,-6,-2,-1.5,-4	ok	232	0.5	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 7, 4, 3, 6).blif	
2026-04-25T16:21:57	ss_(0, 1, 2, 5, 7, 4, 6, 3)	fast	0,0.5,1,3,6,2,4,1.5,-0,-0.5,-1,-3,-6,-2,-4,-1.5	ok	219	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 7, 4, 6, 3).blif	
2026-04-25T16:21:58	ss_(0, 1, 2, 5, 7, 6, 3, 4)	fast	0,0.5,1,3,6,4,1.5,2,-0,-0.5,-1,-3,-6,-4,-1.5,-2	ok	227	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 7, 6, 3, 4).blif	
2026-04-25T16:21:58	ss_(0, 1, 2, 5, 7, 6, 4, 3)	fast	0,0.5,1,3,6,4,2,1.5,-0,-0.5,-1,-3,-6,-4,-2,-1.5	ok	218	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 7, 6, 4, 3).blif	
2026-04-25T16:21:58	ss_(0, 1, 2, 6, 3, 4, 5, 7)	fast	0,0.5,1,4,1.5,2,3,6,-0,-0.5,-1,-4,-1.5,-2,-3,-6	ok	227	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 3, 4, 5, 7).blif	
2026-04-25T16:21:58	ss_(0, 1, 2, 6, 3, 4, 7, 5)	fast	0,0.5,1,4,1.5,2,6,3,-0,-0.5,-1,-4,-1.5,-2,-6,-3	ok	216	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 3, 4, 7, 5).blif	
